Filename, Loc, LoS,  #protocols, Execution Time(s), Totoal Assertion, Failed, Succeed
/Users/yahuis/Desktop/git/swoole-src/src/network/ThreadPool.c,193,20,8,0.0677199363708,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/network/ReactorThread.c,1457,20,8,0.140313863754,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/network/ReactorProcess.c,561,20,8,0.103440999985,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/network/Manager.c,775,20,8,0.0933890342712,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/network/Worker.c,621,20,8,0.180767059326,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/network/Timer.c,222,20,8,0.12818813324,1,1,1
/Users/yahuis/Desktop/git/swoole-src/src/network/Port.c,565,20,8,0.123551845551,1,1,1
/Users/yahuis/Desktop/git/swoole-src/src/os/base.c,387,20,8,0.1411049366,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/os/dl.c,96,20,8,0.126694917679,1,1,1
/Users/yahuis/Desktop/git/swoole-src/src/os/linux_aio.c,193,20,8,0.000113964080811,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/os/msg_queue.c,116,20,8,0.0835568904877,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/os/sendfile.c,101,20,8,0.120257854462,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/os/signal.c,258,20,8,0.0673921108246,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/os/timer.c,240,20,8,0.0702140331268,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Base.c,344,20,8,0.0981559753418,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/SSL.c,642,20,8,0.000123023986816,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Http.c,257,20,8,0.0707449913025,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Http2.c,140,20,8,0.0423641204834,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/WebSocket.c,311,20,8,0.0461020469666,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Mqtt.c,70,20,8,0.103147983551,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Socks5.c,154,20,8,0.135782957077,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/MimeTypes.c,131,20,8,0.0438570976257,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Redis.c,178,20,8,0.101170063019,0,0,0
/Users/yahuis/Desktop/git/swoole-src/src/protocol/Base64.c,115,20,8,0.0766530036926,0,0,0
/Users/yahuis/Desktop/git/swoole-src/thirdparty/php_http_parser.c,1608,20,8,0.124317884445,0,0,0
/Users/yahuis/Desktop/git/swoole-src/thirdparty/multipart_parser.c,289,20,8,0.068675994873,0,0,0
